Compound ID,measured_log_solubility,ESOL_log,SMILES,standard_smiles,standard_inchikeys
3-Methylphenol,-0.68,-2.313,Cc1cccc(O)c1,Cc1cccc(O)c1,RLSSMJSEOOYNOY-UHFFFAOYSA-N
6-aminochrysene,-6.2,-4.849,Nc3cc2c1ccccc1ccc2c4ccccc34 ,Nc1cc2c3ccccc3ccc2c2ccccc12,KIVUHCNVDWYUNP-UHFFFAOYSA-N
Heptachlor,-6.317,-5.26,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,FRCCEHPWNOQAEU-UHFFFAOYSA-N
3-Chlorobiphenyl,-4.88,-4.685,c1c(Cl)cccc1c2ccccc2,Clc1cccc(-c2ccccc2)c1,NMWSKOLWZZWHPL-UHFFFAOYSA-N
"3,4-PCB",-6.39,-5.223,Clc1ccc(cc1Cl)c2ccccc2 ,Clc1ccc(-c2ccccc2)cc1Cl,ZGHQUYZPMWMLBM-UHFFFAOYSA-N
triamcinolone diacetate,-4.13,-3.876,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,XGMPVBXKDAHORN-UHFFFAOYSA-N
gentisin,-2.943,-1.292,c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),COC1=CC2OC3C=CC(=O)CC3C(=O)C2C(=O)C1,QCMQDLGMYAJPLB-UHFFFAOYSA-N
"2,4-Dichlorophenol ",-1.55,-3.22,Oc1ccc(Cl)cc1Cl,Oc1ccc(Cl)cc1Cl,HFZWRUODUSTPEG-UHFFFAOYSA-N
"9,10-Dimethylanthracene",-6.57,-5.228,Cc1c2ccccc2c(C)c3ccccc13,Cc1c2ccccc2c(C)c2ccccc12,JTGMTYWYUZDRBK-UHFFFAOYSA-N
Cyclopropyl-5-spirobarbituric acid,-1.886,-0.088,O=C2NC(=O)C1(CC1)C(=O)N2 ,O=C1NC(=O)C2(CC2)C(=O)N1,PQVZDTWRGIHYCU-UHFFFAOYSA-N
Methyl acetate,0.46,-0.416,COC(=O)C,COC(C)=O,KXKVLQRXCPHEJC-UHFFFAOYSA-N
Mirex,-6.8,-6.155,ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,GVYLCNUFSHDAAW-UHFFFAOYSA-N
Diisopropylsulfide,-2.24,-2.162,CC(C)SC(C)C,CC(C)SC(C)C,XYWDPYKBIRQXQS-UHFFFAOYSA-N
Pebulate,-3.53,-3.131,CCCCN(CC)C(=O)SCCC,CCCCN(CC)C(=O)SCCC,SGEJQUSYQTVSIU-UHFFFAOYSA-N
1-Napthol,-2.22,-3.08,Oc1cccc2ccccc12,Oc1cccc2ccccc12,KJCVRFUGPWSIIH-UHFFFAOYSA-N
Bromomethane,-0.79,-1.109,CBr,CBr,GZUXJHMPEANEGY-UHFFFAOYSA-N
p-Methoxybenzaldehyde,-1.49,-2.252,COc1ccc(C=O)cc1,COc1ccc(C=O)cc1,ZRSNZINYAWTAHE-UHFFFAOYSA-N
Bensulide,-4.2,-4.99,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,RRNIZKPFKNDSRS-UHFFFAOYSA-N
"1,1-Dichloroethane",-1.29,-1.576,CC(Cl)Cl,CC(Cl)Cl,SCYULBFZEHDVBN-UHFFFAOYSA-N
testosterone propionate,-5.37,-4.87,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,PDMMFKSKQVNJMI-UHFFFAOYSA-N
"1,4-Pentadiene ",-2.09,-1.758,C=CCC=C,C=CCC=C,QYZLKGVUSQXAMU-UHFFFAOYSA-N
4-hydroxypyridine,1.02,-1.655,Oc1ccncc1,O=c1cc[nH]cc1,GCNTZFIIOFTKIY-UHFFFAOYSA-N
Furane,-0.82,-1.837,c1ccoc1,c1ccoc1,YLQBMQCUIZJEEH-UHFFFAOYSA-N
Phenylthiourea,-1.77,-1.701,NC(=S)Nc1ccccc1,NC(=S)Nc1ccccc1,FULZLIGZKMKICU-UHFFFAOYSA-N
thiamylal,-3.46,-3.063,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,XLOMZPUITCYLMJ-UHFFFAOYSA-N
p-Phenylphenol,-3.48,-3.701,Oc1ccc(cc1)c2ccccc2,Oc1ccc(-c2ccccc2)cc1,YXVFYQXJAXKLAK-UHFFFAOYSA-N
Xipamide,-3.79,-3.642,Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,MTZBBNMLMNBNJL-UHFFFAOYSA-N
Cyclohexene,-2.59,-2.16,C1CCC=CC1,C1=CCCCC1,HGCIXCUEYOPUTN-UHFFFAOYSA-N
"2,4-Dimethyl-3-pentanol",-1.22,-1.647,CC(C)C(O)C(C)C,CC(C)C(O)C(C)C,BAYAKMPRFGNNFW-UHFFFAOYSA-N
Propionaldehyde,0.58,-0.394,CCC=O,CCC=O,NBBJYMSMWIIQGU-UHFFFAOYSA-N
Isoprocarb,-2.863,-2.734,CNC(=O)Oc1ccccc1C(C)C,CNC(=O)Oc1ccccc1C(C)C,QBSJMKIUCUGGNG-UHFFFAOYSA-N
Hexylbenzene ,-5.21,-4.22,CCCCCCc1ccccc1,CCCCCCc1ccccc1,LTEQMZWBSYACLV-UHFFFAOYSA-N
Talbutal,-2.016,-2.06,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,BJVVMKUXKQHWJK-UHFFFAOYSA-N
Dimethyl phthalate,-1.66,-2.347,COC(=O)c1ccccc1C(=O)OC,COC(=O)c1ccccc1C(=O)OC,NIQCNGHVCWTJSM-UHFFFAOYSA-N
Isopropylbenzene ,-3.27,-3.265,CC(C)c1ccccc1,CC(C)c1ccccc1,RWGFKTVRMDUZSP-UHFFFAOYSA-N
Quinonamid,-5.03,-3.988,ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,O=C(CC(Cl)Cl)NC1=C(Cl)C(=O)c2ccccc2C1=O,DHTZKRIZYPAKLO-UHFFFAOYSA-N
Metranidazole,-1.26,-0.859,Cc1ncc(N(=O)=O)n1CCO ,Cc1ncc([N+](=O)[O-])n1CCO,VAOCPAMSLUNLGC-UHFFFAOYSA-N
Dieldrin,-6.29,-4.533,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,DFBKLUNHFCTMDC-UHFFFAOYSA-N
isophorone,-1.06,-2.015,CC1=CC(=O)CC(C)(C)C1 ,CC1=CC(=O)CC(C)(C)C1,HJOVHMDZYOCNQW-UHFFFAOYSA-N
Eugenol,-1.56,-2.675,COc1cc(CC=C)ccc1O,C=CCc1ccc(O)c(OC)c1,RRAFCDWBNXTKKO-UHFFFAOYSA-N
"1,2-Dinitrobenzene",-3.1,-2.281,O=N(=O)c1ccccc1N(=O)=O,O=[N+]([O-])c1ccccc1[N+](=O)[O-],IZUKQUVSCNEFMJ-UHFFFAOYSA-N
Trichloronate,-5.752,-5.225,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,ANIAQSUBRGXWLS-UHFFFAOYSA-N
nifuroxime,-2.19,-1.843,ON=Cc1ccc(o1)N(=O)=O ,O=[N+]([O-])c1ccc(C=NO)o1,PTBKFATYSVLSSD-UHFFFAOYSA-N
RTI 24,-5.36,-4.423,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,ZSFUDSWIVAQKEN-UHFFFAOYSA-N
1-Hexanol,-1.24,-1.397,CCCCCCO,CCCCCCO,ZSIAUFGUXNUGDI-UHFFFAOYSA-N
Benzophenone,-3.12,-3.612,O=C(c1ccccc1)c2ccccc2,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N
"1,2,4-tribromobenzene",-4.5,-5.144,c1(Br)c(Br)cc(Br)cc1,Brc1ccc(Br)c(Br)c1,FWAJPSIPOULHHH-UHFFFAOYSA-N
Pencycuron,-5.915,-5.126,Clc1ccc(CN(C2CCCC2)C(=O)Nc3ccccc3)cc1,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1,OGYFATSSENRIKG-UHFFFAOYSA-N
1-Chlorohexane,-3.12,-2.648,CCCCCCCl,CCCCCCCl,MLRVZFYXUZQSRU-UHFFFAOYSA-N
p-Nitroaniline,-2.37,-1.936,Nc1ccc(cc1)N(=O)=O,Nc1ccc([N+](=O)[O-])cc1,TYMLOMAKGOJONV-UHFFFAOYSA-N
1-Pentadecanol,-6.35,-4.586,CCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCO,REIUXOLGHVXAEO-UHFFFAOYSA-N
"2,6-Dimethylnaphthalene ",-4.89,-4.147,Cc1ccc2cc(C)ccc2c1,Cc1ccc2cc(C)ccc2c1,YGYNBBAUIYTWBF-UHFFFAOYSA-N
Pyridine,0.76,-1.481,c1ccncc1,c1ccncc1,JUJWROOIHBZHMG-UHFFFAOYSA-N
p-Nitrophenol,-0.74,-2.318,Oc1ccc(cc1)N(=O)=O,O=[N+]([O-])c1ccc(O)cc1,BTJIUGUIPKRLHP-UHFFFAOYSA-N
Biphenyl,-4.345,-4.079,c1ccc(cc1)c2ccccc2,c1ccc(-c2ccccc2)cc1,ZUOUZKKEUPVFJK-UHFFFAOYSA-N
Flucytosine,-0.972,-0.132,Nc1nc(=O)[nH]cc1F,Nc1nc(=O)[nH]cc1F,XRECTZIEBJDKEO-UHFFFAOYSA-N
Buturon,-3.9,-3.199,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,BYYMILHAKOURNM-UHFFFAOYSA-N
Pentachloroethane,-2.6,-3.382,ClC(Cl)C(Cl)(Cl)Cl,ClC(Cl)C(Cl)(Cl)Cl,BNIXVQGCZULYKV-UHFFFAOYSA-N
norbormide,-3.931,-4.238,OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 ,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,DNTHHIVFNQZZRD-UHFFFAOYSA-N
Benzamide,-0.96,-1.501,NC(=O)c1ccccc1,NC(=O)c1ccccc1,KXDAEFPNCMNJSK-UHFFFAOYSA-N
6-methoxypteridine,-1.139,-1.589,COc2cnc1ncncc1n2,COc1cnc2ncncc2n1,AWIJPALBOQNRBS-UHFFFAOYSA-N
Azobenzene,-4.45,-4.034,N(=Nc1ccccc1)c2ccccc2,c1ccc(N=Nc2ccccc2)cc1,DMLAVOWQYNRWNQ-UHFFFAOYSA-N
megestrol acetate,-5.35,-4.417,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,RQZAXGRLVPAYTJ-UHFFFAOYSA-N
Hexane ,-3.84,-2.615,CCCCCC,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N
5-(3-Methyl-2-butenyl)-5-ethylbarbital,-2.253,-2.126,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,VDVCBHJNKZNXKT-UHFFFAOYSA-N
Coronene,-9.332,-6.885,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,VPUGDVKSAQVFFS-UHFFFAOYSA-N
"2,2',3,3',5,6-PCB",-8.6,-7.185,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,RVWLHPJFOKUPNM-UHFFFAOYSA-N
thymine,-1.506,-0.78,Cc1c[nH]c(=O)[nH]c1=O ,Cc1c[nH]c(=O)[nH]c1=O,RWQNBRDOKXIBIV-UHFFFAOYSA-N
Methyl octanoate,-3.17,-2.608,CCCCCCCC(=O)OC,CCCCCCCC(=O)OC,JGHZJRVDZXSNKQ-UHFFFAOYSA-N
"1,2-Dichlorobenzene",-3.05,-3.482,Clc1ccccc1Cl,Clc1ccccc1Cl,RFFLAFLAYFXFSW-UHFFFAOYSA-N
2-Ethyl-1-butanol,-1.17,-1.381,CCC(CC)CO,CCC(CC)CO,TZYRSLHNPKPEFV-UHFFFAOYSA-N
Riboflavin,-3.685,-1.865,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,AUNGANRZJHBGPY-UHFFFAOYSA-N
Raffinose,-0.41,0.496,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,MUPFEKGTMRGPLJ-UHFFFAOYSA-N
Fluridone,-4.445,-4.249,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,YWBVHLJPRPCRSD-UHFFFAOYSA-N
chlorpyrifos,-5.67,-4.972,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,SBPBAQFWLVIOKP-UHFFFAOYSA-N
1-methyluracil,-0.807,-0.375,Cn1ccc(=O)[nH]c1=O,Cn1ccc(=O)[nH]c1=O,XBCXJKGHPABGSD-UHFFFAOYSA-N
3-Octanoyloxymethylphenytoin,-6.523,-4.84,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,IDZYLIZKJFAXAS-UHFFFAOYSA-N
"2,4-Dimethylphenol",-1.19,-2.621,Cc1ccc(O)c(C)c1,Cc1ccc(O)c(C)c1,KUFFULVDNCHOFZ-UHFFFAOYSA-N
2-Ethyltoluene,-3.21,-3.296,CCc1ccccc1C,CCc1ccccc1C,HYFLWBNQFMXCPA-UHFFFAOYSA-N
"1,4-Diethylbenzene ",-3.75,-3.633,CCc1ccc(CC)cc1,CCc1ccc(CC)cc1,DSNHSQKRULAAEI-UHFFFAOYSA-N
"1,2-Diethoxyethane ",-0.77,-0.833,CCOCCOCC,CCOCCOCC,LZDKZFUFMNSQCJ-UHFFFAOYSA-N
"2,2',6,6'-PCB",-7.39,-5.915,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,PXAGFNRKXSYIHU-UHFFFAOYSA-N
Caffeine,-0.876,-1.498,Cn1cnc2n(C)c(=O)n(C)c(=O)c12,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N
Quinethazone,-3.29,-2.184,CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,AGMMTXLNIQSRCG-UHFFFAOYSA-N
acetyl sulfisoxazole,-3.59,-2.024,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,CC(=O)N(c1onc(C)c1C)[S+]([O-])c1ccc(N)cc1,WIDMDEHGDAFXAJ-UHFFFAOYSA-N
Diosgenin,-7.32,-5.681,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,CPMZWWWXIWHTMU-UHFFFAOYSA-N
"1,2,4,5-Tetramethylbenzene",-4.59,-3.664,Cc1cc(C)c(C)cc1C,Cc1cc(C)c(C)cc1C,SQNZJJAZBFDUTD-UHFFFAOYSA-N
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,-2.593,-2.465,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,ZCDHRBAYNFWZBH-UHFFFAOYSA-N
metalaxyl,-1.601,-2.87,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,ZQEIXNIJLIKNTD-UHFFFAOYSA-N
menthol,-2.53,-2.782,CC(C)C1CCC(C)CC1O ,CC1CCC(C(C)C)C(O)C1,NOOLISFMXDJSKH-UHFFFAOYSA-N
"2,2-Dimethyl-1-butanol",-1.04,-1.365,CCC(C)(C)CO,CCC(C)(C)CO,XRMVWAKMXZNZIL-UHFFFAOYSA-N
Methyl propionate,-0.14,-0.836,CCC(=O)OC,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N
RTI 2,-2.86,-3.125,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,CCN1C(=O)c2cccnc2N(CC)c2ncccc21,ISMYLNZMKJLINI-UHFFFAOYSA-N
Indan,-3.04,-3.057,C1Cc2ccccc2C1,c1ccc2c(c1)CCC2,PQNFLJBBNBOBRQ-UHFFFAOYSA-N
Benzo(k)fluoranthene,-8.49,-6.007,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,HAXBIWFMXWRORI-UHFFFAOYSA-N
2-Octanone,-2.05,-1.909,CCCCCCC(=O)C,CCCCCCC(C)=O,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
Terbufos,-4.755,-4.367,CCOP(=S)(OCC)SCSC(C)(C)C,CCOP(=S)(OCC)SCSC(C)(C)C,XLNZEKHULJKQBA-UHFFFAOYSA-N
"2,2',3,3',4,4',5,5',6,6'-PCB",-11.6,-9.589,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,ONXPZLFXDMAPRO-UHFFFAOYSA-N
1-Chloropropane,-1.47,-1.585,CCCCl,CCCCl,SNMVRZFUUCLYTO-UHFFFAOYSA-N
2-bromonaphthalene,-4.4,-4.434,c1c(Br)ccc2ccccc12 ,Brc1ccc2ccccc2c1,APSMUYYLXZULMS-UHFFFAOYSA-N
indoline,-1.04,-2.195,c2ccc1NCCc1c2 ,c1ccc2c(c1)CCN2,LPAGFVYQRIESJQ-UHFFFAOYSA-N
Prometon,-2.478,-3.448,COc1nc(NC(C)C)nc(NC(C)C)n1,COc1nc(NC(C)C)nc(NC(C)C)n1,ISEUFVQQFVOBCY-UHFFFAOYSA-N
Butethal,-1.661,-1.974,CCCCC1(CC)C(=O)NC(=O)NC1=O,CCCCC1(CC)C(=O)NC(=O)NC1=O,STDBAQMTJLUMFW-UHFFFAOYSA-N
Metoxuron,-2.564,-2.683,COc1ccc(NC(=O)N(C)C)cc1Cl,COc1ccc(NC(=O)N(C)C)cc1Cl,DSRNRYQBBJQVCW-UHFFFAOYSA-N
4-Pentene-1-ol,-0.15,-0.791,OCCCC=C,C=CCCCO,LQAVWYMTUMSFBE-UHFFFAOYSA-N
3-methylindole,-2.42,-2.981,Cc1c[nH]c2ccccc12 ,Cc1c[nH]c2ccccc12,ZFRKQXVRDFCRJG-UHFFFAOYSA-N
Mebendazole,-3.88,-4.118,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,OPXLLQIJSORQAM-UHFFFAOYSA-N
Propiconazole,-3.493,-4.603,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,STJLVHWMYQXCPB-UHFFFAOYSA-N
"2,2-Dimethylpentane",-4.36,-2.938,CCCC(C)(C)C,CCCC(C)(C)C,CXOWYJMDMMMMJO-UHFFFAOYSA-N
3-Methyl-2-pentanol,-0.72,-1.381,CCC(C)CCO,CCC(C)CCO,IWTBVKIGCDZRPL-UHFFFAOYSA-N
Mefenacet,-4.873,-4.504,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,XIGAUIHYSDTJHW-UHFFFAOYSA-N
"1,3-Dinitrobenzene",-2.29,-2.281,O=N(=O)c1cccc(c1)N(=O)=O,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,WDCYWAQPCXBPJA-UHFFFAOYSA-N
7-methoxypteridine,-0.91,-1.589,COc2cnc1cncnc1n2,COc1cnc2cncnc2n1,NMUINCUJOZFODB-UHFFFAOYSA-N
1-Phenylethanol,-0.92,-1.919,CC(O)c1ccccc1,CC(O)c1ccccc1,WAPNOHKVXSQRPX-UHFFFAOYSA-N
Diisopropyl ether ,-1.1,-1.281,CC(C)OC(C)C,CC(C)OC(C)C,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N
N-Methylaniline ,-1.28,-2.097,CNc1ccccc1,CNc1ccccc1,AFBPFSWMIHJQDM-UHFFFAOYSA-N
2-Heptanone,-1.45,-1.554,CCCCCC(=O)C,CCCCCC(C)=O,CATSNJVOTSVZJV-UHFFFAOYSA-N
"2,2,4-Trimethylpentane",-4.74,-3.276,CC(C)CC(C)(C)C,CC(C)CC(C)(C)C,NHTMVDHEPJAVLT-UHFFFAOYSA-N
Benzaldehyde,-1.19,-1.999,O=Cc1ccccc1,O=Cc1ccccc1,HUMNYLRZRPPJDN-UHFFFAOYSA-N
fensulfothion,-2.3,-3.283,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,CCOP(=S)(OCC)Oc1ccc([S+](C)[O-])cc1,XDNBJTQLKCIJBV-UHFFFAOYSA-N
Thiophene,-1.33,-2.232,c1ccsc1,c1ccsc1,YTPLMLYBLZKORZ-UHFFFAOYSA-N
"2,2',3,4,5,5'-PCB",-7.68,-7.343,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,UCLKLGIYGBLTSM-UHFFFAOYSA-N
Dienestrol,-4.95,-4.775,CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,NFDFQCUYFHCNBW-UHFFFAOYSA-N
Ethyl acetate,-0.04,-0.77,CCOC(=O)C,CCOC(C)=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N
cycloate,-3.4,-3.35,CCSC(=O)N(CC)C1CCCCC1 ,CCSC(=O)N(CC)C1CCCCC1,DFCAFRGABIXSDS-UHFFFAOYSA-N
Ethyl vinyl ether,-0.85,-0.857,CCOC=C,C=COCC,FJKIXWOMBXYWOQ-UHFFFAOYSA-N
Trichloroacetonitrile,-2.168,-2.019,ClC(Cl)(Cl)C#N,N#CC(Cl)(Cl)Cl,DRUIESSIVFYOMK-UHFFFAOYSA-N
2-butenal,0.32,-0.604,CC=CC=O,CC=CC=O,MLUCVPSAIODCQM-UHFFFAOYSA-N
Fluvalinate,-8.003,-8.057,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,INISTDXBRIBGOC-UHFFFAOYSA-N
oxyphenbutazone,-3.73,-3.739,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 ,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,HFHZKZSRXITVMK-UHFFFAOYSA-N
