smile,y
CC1=NN(C(=O)C1N=Nc2ccc(c3ccc(cc3[S]([O-])(=O)=O)N=NC4C(=NN(C4=O)c5ccccc5)C)c(c2)[S]([O-])(=O)=O)c6ccccc6,-1.642781181
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924
CCCC(=O)OC(C)(C)Cc1ccccc1,-4.1359426126
[O-][S](=O)(=O)c1ccc(N\N=C\2C=CC(=O)C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)\C2=O)c5ccccc15,-2.6038411441
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,-4.1708247593
CCN(CC[n+]1ccccc1)c2ccc(cc2)N=Nc3ccc(cc3Cl)[N+]([O-])=O,-1.5218900849
O=C(Oc1ccccc1)Oc2ccccc2,-4.2169166627
C\1C\C=C/CC\C=C1,-2.9659771733
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.3876832538
Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O,-1.7922611704
Oc1ccc(c(O)c1O)C(=O)c2ccccc2,-3.3451078238
CCCCCCCCC\C=C\CC1CC(=O)OC1=O,-4.4255032449
CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,-4.4255032449
CCCCCCCCCC(=O)Oc1ccc(cc1)C(O)=O,-5.4245475497000015
COc1ccc(\C=C\C(=O)OCCC(C)C)cc1,-5.4919252104
C\1C\C=C/CC\C=C/CC/C=C1,-5.3651562541
BrCc1ccc(cc1)c2ccccc2C#N,-6.6566491092
CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)OC2[C@H](C)O[C@H](C[C@@H]2OC)OC3[C@@H](C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O[C@H]6C[C@@H](C\C=C3/C)O[C@@]7(C6)O[C@@H]([C@@H](C)C=C7)C8CCCCC8)[C@]45O)C,-7.5558815137
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-6.183335848
c1cc2ccc3cccc4ccc(c1)c2c34,-6.1787966156
CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC,-6.40319542
CCC(CC)CC1(CCCCC1)C#N,-6.5873382321000005
COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)[N+]([O-])=O,-6.9290130346000005
CCCCN(CCCC)c1ccc2c(Oc3cc(C)c(Nc4ccccc4)cc3C25OC(=O)c6ccccc56)c1,-7.4042503575
FC1(F)Oc2cccc(C=O)c2O1,-2.1558333574
CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(cc3)C(=O)NC(C)(C)C)nc(Nc4ccc(cc4)C(=O)OCC(CC)CCCC)n2)cc1,-8.1852587653
CCCCCCCCCCCC[n+]1ccccc1,-0.4539105371
Cc1cccc(C)c1OCC(O)=O,-2.2566445306
OCC1=CC(=N/Nc2ccc(c3ccccc23)[S]([O-])(=O)=O)\C(=O)/C(=N/Nc4ccc(c5ccccc45)[S]([O-])(=O)=O)C1=O,-0.8171647444
CC(=O)c1ccc(O)cc1,-1.1383824511
Nc1ccc2cc(c(N=Nc3ccc(N=Nc4cccc(C([O-])=O)c4O)c5ccccc35)c(O)c2c1)[S]([O-])(=O)=O,-2.7868204517
Nc1cc(ccc1O)[N+]([O-])=O,-2.2056018566
[O-][N+](=O)c1ccc2NC(=O)Nc2c1,-3.2740875474
Cc1ccc(cc1)[S](=O)(=O)/C(=C/N2CC(=O)NC2=S)C#N,-3.5292992951
CCC1=C(O)C(=O)C=CO1,-1.1759580204
COC(=O)Cc1ccccc1,-2.2114017234
Cc1c(Cl)cccc1[N+]([O-])=O,-3.2706864295
C[C@H]1CC(=O)C=C2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C,-3.5264225666000004
CC\1=Nc2ccccc2C1=N/Nc3cc(Cl)c(cc3Cl)[S](=O)(=O)NCC[S]([O-])(=O)=O,-3.7561795168
CC(C)(O)C(=O)c1ccc(Cc2ccc(cc2)C(=O)C(C)(C)O)cc1,-4.536378597
C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,-4.4930858187
O=C(Nc1ccccc1)Nc2ccccc2N[S](=O)(=O)c3ccccc3,-4.5784028785
CC(=O)OC1CC2CC1C3CCCC23,-3.3380498278
CC(C)[C@@]12CC[C@@](C)(O1)[C@@H](O)C2,-0.288092629
CC(C)c1ccc(CCC=O)cc1,-3.3026567859
CCCOC(C)OCCc1ccccc1,-3.3841929036
COC(C)(C)C1CCC(=CC1)C,-3.2966135776
[O-][N+](=O)c1cc(Cl)ccc1Cl,-3.3642253983
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,-3.6804449633
O=C1C=CC(=O)N1c2ccccc2,-2.3273175561
Cc1ccc(cc1)N2N=C(C)CC2=O,-2.365667988
OB(O)c1ccc(C=O)cc1,-2.2673846672
CC(=O)CC(C)(C)c1ccccc1,-2.337666283
NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2,-2.8005950876
C\C=C1/CC2CC1C=C2,-3.1767964148
CCN(C(=O)N(CC)c1ccccc1)c2ccccc2,-3.5256277962
CCCCOC(=O)c1ccccc1N,-3.3830205262
Oc1ccccc1C(=O)OCc2ccccc2,-4.4139224059
O[S](=O)(=O)c1cccc2cc(Nc3ccccc3)cc(Nc4ccccc4)c12,-4.6725029066
S(c1ccccc1)c2ccccc2,-4.3606078686
CCOCCCN[S](=O)(=O)c1ccc(Oc2cc(O)c3C(=O)c4ccccc4C(=O)c3c2N)cc1,-4.7874700957
Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,-4.5531196112
CC1=NN(c2cccc(c2)[S]([O-])(=O)=O)C(=O)C1N=Nc3cc(Cl)c(Cl)cc3[S]([O-])(=O)=O,-3.8390840609
COc1ccc(OC)cc1,-2.2455315279
C1CCC(CC1)OCCc2ccccc2,-2.4180900548
C/C=C/C(=O)C1C(C)C=CCC1(C)C,-3.3963665007
O=C(OCC1CO1)c2ccc(cc2)C(=O)OCC3CO3,-3.5579600556
CN(CCO)c1nc(Nc2ccccc2)nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6ccccc6)nc(n5)N(C)CCO)cc4[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O)n1,-3.0693211517
Cc1cc(C)c(C)c(O)c1,-2.2522030039
CC(C)(O)C(=O)c1ccc(OCCO)cc1,-1.4699304792
CN(C(=O)N(C)c1ccccc1)c2ccccc2,-3.4975575811
O=C1CCCCCCCCCCC(=O)OCCO1,-3.533758505
CCOC(=O)C1OC1c2ccccc2,-2.4096512377
CCC(=O)OCc1ccccc1,-2.344979827
CC(=O)OC1(CCCCC1)C#C,-2.352215179
Nc1cc(Cl)c(Cl)cc1Cl,-3.4359504856
Clc1cccc(n1)C(Cl)(Cl)Cl,-3.506108364
OC(=O)c1cc2ccccc2cc1O,-3.4172455835
C\C=C/C=C,-2.4542650743000003
CC(C)c1cccc(c1)C(C)CC=O,-3.6773468456
Nc1c(N=Nc2cc(Nc3nc(Cl)nc(Nc4cccc(c4)[S](=O)(=O)CCO[S]([O-])(=O)=O)n3)ccc2[S]([O-])(=O)=O)c(cc5cc(c(N=Nc6ccc7c(cccc7[S]([O-])(=O)=O)c6[S]([O-])(=O)=O)c(O)c15)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-1.277021164
FC1CC(F)(F)C(F)(F)C1(F)F,-2.436880918
COc1cc(\C=C\C)ccc1O,-2.3647374971
Cc1ccc(C=O)cc1C,-2.277035079
[O-]C(=O)c1ccccc1C2=C3C=C(I)C(=O)C(=C3Oc4c(I)c([O-])c(I)cc24)I,-1.0993150407
Nc1ccc(c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O,-2.6919272706
COc1cc(C=O)cc(c1O)[N+]([O-])=O,-2.4496899299
CCN(CC)c1cccc(NC(C)=O)c1,-2.4693780306
Cc1ccccc1NC(N)=Nc2ccccc2C,-3.5338845835000003
CCCC(CC)COC(=O)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-7.098737149600001
CC1(C)CCCC2(C)C3CCC(C13)C2=C,-4.412762427200001
Oc1ccccc1C(=O)OCCc2ccccc2,-4.4891053349000005
CC(COC(=O)c1ccccc1)OC(=O)c2ccccc2,-4.5673029377
CCC(C)(C)C1CCCCC1OC(C)=O,-4.4462039036
N#C[C](=[C]1CC[CH2]CC1)c2ccccc2,-4.4200239973
OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,-4.6202577876
[O-][N+](=O)c1ccc(CCc2ccc(cc2)[N+]([O-])=O)cc1,-4.589885800199999
CC(C)(C)CC(C)(C)c1ccc(O)cc1,-4.4694622333
CCCCCCCCCc1ccc(O)cc1,-4.4980268403
COc1ccc(cc1[N+]([O-])=O)C(=O)Nc2ccc(cc2)C(N)=O,-4.6536052692
Fc%10ccc%11O[C@H](CCc%11c%10)[C@H]%12CO%12,-3.0521011765
COc1ccccc1OC,-1.3149750669
Nc1cnn(CCO)c1N,0.4442593444
[O-][S](=O)(=O)c1cccc(c1)[S]([O-])(=O)=O,0.3709472853
[O-][N+](=O)c1cc(ccc1Cl)C(F)(F)F,-2.5337046723
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-3.7709815003
CC(C)c1ccc(cc1)C(C)CC=O,-3.4598629014
CC1CC(=CC(C)C1CO)C,-2.3711973931
CC1CC(C)(CO1)c2ccccc2,-2.4332379452
Oc1cccc2cccnc12,-2.3496052546
CCN(c1cccc(c1)[S](=O)(=O)CCO[S]([O-])(=O)=O)c2nc(Cl)nc(Nc3ccc4C(=O)C(=N/Nc5ccc(OC)cc5[S]([O-])(=O)=O)\C(=Cc4c3)[S]([O-])(=O)=O)n2,-1.1616711076
CCOc1ccccc1OCC,-2.41045076
CCN1C(=C(N=Nc2ccc(cc2)[S](=O)(=O)c3ccc(cc3)N=NC4=C(O)N(CC)C(=O)C(=C4C)C[S]([O-])(=O)=O)C(=C(C[S]([O-])(=O)=O)C1=O)C)O,-2.1021873796
CC(=O)c1ccccc1,-1.2803868403
OC(=O)c1ccccc1C(O)=O,-1.4245732761
O=CC1CCC2C3CCC(C3)C12,-2.4199676473
CC(C)c1ccccc1C(C)C,-2.4977135853
Cc1cccc(C)c1O,-1.292396158
CCC(O)c1ccccc1,-2.3403675905
CC(=O)c1cccc(c1)C(F)(F)F,-2.4821079167
Nc1ccc(Cl)cc1Cl,-2.4171742578
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,-3.4963238418
NN[S](=O)(=O)c1ccc(Oc2ccc(cc2)[S](=O)(=O)NN)cc1,-3.7584891954
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O,-2.6489777217
CC1(C)C2CC=C(CCC=O)C1C2,-3.4657606101
OC(=O)Cc1ccc(O)cc1,-0.3990804112
COc1ccc(COC(C)=O)cc1,-2.4740066421
Nc1nc(N)nc(n1)c2ccccc2,-2.4941685135
CC(C)(C)C1CCC(CC1)OC(=O)C=C,-3.539328096
Brc1ccc(Br)c(C=C)c1,-4.5787304077
Cc1ccccc1NC(=O)c2cc3ccccc3cc2O,-4.6234419541000005
CC(=C)C(=O)OC1CC2CCC1(C)C2(C)C,-4.5442204359
CCCCCCCCCCCC(CC)CCCCCCC(CC)CCCCCCC,-5.4050532611
c5ccc6cc7ccccc7cc6c5,-5.0416978328
c1ccc2ccccc2c1,-4.3112256046
Oc1ccccc1C(=O)OC2CCCCC2,-4.5540762927
CC(=C)[C@@H]1CCC(=CC1)C,-4.346837785
CC[C@]12CC[C@H]3[C@@H](CCC4=C3CC=C(C4)OC)[C@@H]1CC[C@@H]2O,-4.7025138257
COc1ccc(c(O)c1)C(=O)c2ccccc2,-4.5802538276
CC1CCC2C(C)(C)C3CC12CC(=C3C)C(C)=O,-4.6134788776
CCOC(=O)c1ccccc1,-2.3999022404
OC(=O)CCc1ccccc1,-1.4057514128
CCCCCCC1CCCC1=O,-3.4515155376
Oc1ccc(C=C)cc1C=C,-3.3940626837
Nc1ccc(Cl)cc1O,-2.3906599281
CCOc1ccc(cc1)C(O)=O,-2.4548997462
Nc1c(Cl)cc(cc1Cl)C(F)(F)F,-3.591642752
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2ccnc2,-3.7030926455
CCC(C)C1CCCCC1=O,-2.427057806
COc1cc(C=O)ccc1OC(=O)C(C)C,-2.5886676064
Cc1ccccc1,-2.2062982993
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2O,-3.7003596507
CCc1ccc(CC(C)(C)C#N)cc1,-3.3513392636000003
CCC(=O)OC1C=CC2C3CCC(C3)C12,-3.5585927938
CCOc1ccccc1,-2.3318416428
CN1C(=O)N(C(=O)C=C1C(F)(F)F)c2ccc(Cl)c(c2)C(=O)OC(C)(C)C(=O)OCC=C,-4.676528089
Cc1ccc(cc1)[S]([O-])(=O)=O,-0.0080331121
C=CCOC(=O)COc1ccccc1,-2.5363732086
OC(=O)CCCCC(O)=O,-0.6232866861
CN[S](=O)(=O)c1cc(OC)c(N)cc1OC,-3.6510805625
O=C1Nc2ccccc2N1,-2.3927519971
Nc1cccc(Cl)c1,-1.3733684129
CC(=O)OC1CCC2CCCCC2C1,-3.5605044152
CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O,-7.3357073226999985
C1CC=CC1,-2.1049144818000003
OC(=O)CC(C[P]1(=O)Oc2ccccc2c3ccccc13)C(O)=O,-2.8135095056
CC(=C)C(=O)Oc1ccccc1,-2.4948513605
CC1=C(C=O)C(C)(C)CC=C1,-2.4650077569
CN(C)Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-2.7113870277
CC(=O)CC(C)(C)C1CCCCC1,-3.5481536429
CC(C)C1CCC(C)CC1O,-2.4880091207
Nc1ccc(Nc2ccccc2)cc1,-2.5631304762
CCC(C)C(=O)N(C)c1ccccc1,-1.5805795126
NC(=O)c1cccnc1,0.6121583154
[O-][S](=O)(=O)c1ccc2c(c1)C=C(C(=O)/C2=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-1.0824140873
Cc1cc(C)cc(O)c1,-1.3879839049
COc1ccc(CC=C)cc1OC,-2.5520132395
Nc1ccc2c(O)cc(cc2c1)[S](O)(=O)=O,-2.6798855726
[O-]c1ccc2cc(ccc2c1N=Nc3ccc(cc3)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-2.9368865529000003
CCCCCC1=C(CCC1CC(=O)OC)OC(C)=O,-3.7219886724
C=CC1CCC=CC1,-3.3351930307
COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2,-5.0104856455
CCCCOC(=O)c1ccc(C(=O)OCCCC)c(c1)C(=O)OCCCC,-4.807173711
CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(O)cc4,-4.8285219564
CC1(C)[C@H]2CC[C@]1(C)C(C2)OC(=O)C=C,-4.5830924552
O=C1C(c2ccc3ccccc3n2)C(=O)c4ccccc14,-4.7011861265
CC1CC(CC(C)(C)C1)OC(=O)C(C)=C,-4.5985985087
Nc1ccccc1,-4.5021013295
CC/C=C/CCOC(=O)c1ccccc1O,-4.6439814041
CC(C)[C@@H]1CC[C@@H](C)CC1=O,-2.4918772305
COC(=O)c1ccc(cc1[N+]([O-])=O)C(O)=O,-2.6570018481
Cc1cc(C)cc(C)c1,-3.382657059
Cc1ccc(cc1Cl)[N+]([O-])=O,-3.5442781768
O=C1CCCCCN1C(=O)NCCCCCCNC(=O)N2CCCCCC2=O,-3.9064006561
Nc1ccc(CCc2ccc(N)cc2)cc1,-3.6457005741
COC(=O)c1cccnc1,-0.4595508588
CC(C)(C)c1ccc(cc1)C(O)=O,-3.5779623367
Nc1cccc2ccc(cc12)[S](O)(=O)=O,-1.6822793230000002
Cc1cccc(O)c1C,-1.4241960776
Oc1c(I)cc(Cl)c2cccnc12,-1.8222562261
CC1C(CC2CC1C2(C)C)C=O,-3.5580403929
CC(C)(O)CCc1ccccc1,-1.5556396769999998
CC(=O)Oc1ccc(cc1)[N+]([O-])=O,-2.5992568252
CC(=O)c1oc2ccccc2c1,-2.5484883965000003
[NH3+]c1cc(cc(Cl)c1O)[N+]([O-])=O,-2.6990298363
CCC(O)COC1CCCCC1C(C)(C)C,-3.698734262
CC(C)C1CCC(C)CC1OO,-2.5888216416
CC(C)COC(=O)c1cc(N)c(Cl)c(N)c1,-2.738284824
OC1(CCCCC1)C(=O)c2ccccc2,-2.6647801935
NNCc1ccccc1,-1.6467890106
CCOc1nc2cccc(C(O)=O)c2n1Cc3ccc(cc3)c4ccccc4c5n[nH]nn5,-6.4977813968
Clc1nc(Cl)nc(Cl)n1,-2.6223388564
COc1cc(c(O)c(c1)C(C)(C)C)c2cc(OC)cc(c2O)C(C)(C)C,-6.7763112575
C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)[S]1(=O)=O)C(O)=O,-1.8384616763
CN(C=O)c1ccccc1,-1.4947809467
Nc1ccc(cc1[S](O)(=O)=O)[S](O)(=O)=O,-1.7700930025
CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,-2.5604043774000003
COc1ccc(cc1[N+]([O-])=O)C(O)=O,-2.6613195143
CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2=O,-2.8204596094
CC(C)(C)C(=O)OCCc1ccccc1,-3.6752800895
CC(OC(C)=O)C1CCCCC1,-3.5976237668
CC(=O)CCC1=C(C)CCCC1(C)C,-3.6550445763
CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,-0.9372185286
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc2ccccc2,-1.020958606
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,-2.5706235426
CCCCCCC1(C)CCC(=O)O1,-2.6432618239
Nc1ccc(cc1[S]([O-])(=O)=O)[N+]([O-])=O,-1.7677385178999998
C[C@H]1CCC2(O)C(C)(C)C3CC[C@@]2(C)C1C3,-3.7259038203
C(Cc%13ccccc%13)c%14ccccc%14,-4.5881768419
C(NCc1ccccc1)c2ccccc2,-2.6876302374
Cc1cccc2n[nH]nc12,-1.5169635388
Nc1cc(cc(c1O)[S](O)(=O)=O)[N+]([O-])=O,-1.7662055678
OCCN(CCO)c1nc(Nc2ccc(cc2)[S]([O-])(=O)=O)nc(Nc3ccc(\C=C\c4ccc(Nc5nc(Nc6ccc(cc6)[S]([O-])(=O)=O)nc(n5)N(CCO)CCO)c(c4)[S]([O-])(=O)=O)cc3[S]([O-])(=O)=O)n1,-0.4642868095
COC(=O)c1ccccc1C(=O)OC,-1.6861579246
CN(C)c1ccc(cc1)[C+](c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,-2.0085884627
CCCCCC1CCCC(=O)O1,-1.6290322311
CC1=CC(=O)N(Cc2cccc(CN3C(=O)C=C(C)C3=O)c2)C1=O,-3.9003349932
CC\C=C/CCOC(=O)c1ccccc1,-3.7048974167
COC(=O)c1ccc(c(N)c1)C(=O)OC,-3.7185037648
CC1(C)CCC2OC23C(C)(C)C4CCC13C4,-4.6529288002
CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4n[nH]nn4,-4.9450169862
CCC(C)(C)c1ccccc1,-4.5007459195
CC(CCC=O)C1C(=CCCC1(C)C)C,-4.6532020914
CC1(C)C2CCC(C2)C1=C,-4.4715404278
CC(CC1CCCC1=O)C2CCC(=CC2)C,-4.6803670486
CO[C@]1(C)CCC23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,-4.7401771795
COC1CCCCCCCCCCC1,-4.6835903829
CCOC1(C)CCC2C(=C)C1CCC2(C)C,-4.7342962454
Cc1ccc(N2C(=O)c3cccc4c(N)ccc(C2=O)c34)c(C)c1,-4.8916555333
Cc1cc(cc(C)c1CC#N)C(C)(C)C,-4.7018118295
CC(C)(c1ccccc1)c2ccc(O[P@]3OC[C@]4(CO3)CO[P@](OC4)Oc5ccc(cc5C(C)(C)c6ccccc6)C(C)(C)c7ccccc7)c(c2)C(C)(C)c8ccccc8,-7.2319734263
O=C1NC(=O)c2cccc3cccc1c23,-4.6928315029
O=C1CCC2CCCCC2O1,-0.5865603256
COC(=O)c1ccc(C)cc1,-2.5767203524
CC1CC(C)(C)OC(Cc2ccccc2)O1,-2.7446854432
Nc1ccccc1N,-0.4396098787
O=C1N[S](=O)(=O)c2ccccc12,-1.6718324141
Cc1cc(ccc1N)[S]([O-])(=O)=O,-1.7295012251
Nc1cc(cc(c1[O-])[N+]([O-])=O)[N+]([O-])=O,-1.7648130029
Fc1ccc(cc1)C(=O)CCCCl,-2.7226339225
C[N+](C)(C)c1ccc2ccc(O)c(N=Nc3ccc(N)cc3)c2c1,-1.9807853884
CCC(C)(C)C1CCC(=O)CC1,-2.6568927779
Cc1ccc(cc1[N+]([O-])=O)[S](C)(=O)=O,-2.7647010816
O=[P](c1ccccc1)(c2ccccc2)c3ccccc3,-2.8774727952
COc1ccc(OC)c(Cl)c1,-2.6724024043
OCCOc1ccc2ccccc2c1,-2.7142946902
CCCCOc1ccccc1,-3.6132495633
Clc1ccc(Cl)c(Cl)c1,-3.7024520783
Cc1c(CO)nccc1OCC(F)(F)F,-1.7920737105000002
COc1cc(\C=C\C(O)=O)cc(OC)c1OC,-2.830470194
C1CCc2ccccc2C1,-3.5673681389
CCO[P](=O)(C(=O)c1c(C)cc(C)cc1C)c2ccccc2,-3.9560819473
Cc1ccc(c(O)c1)C(C)(C)C,-2.672674663
COC(=O)c1ccc(C(=O)OC)c(c1)[N+]([O-])=O,-2.8359048818
Nc1ccc(cc1)N=Nc2ccccc2,-3.7597030757
CC1=CCC(CC#N)C1(C)C,-2.6475372328
